question,symbol,target_price,direction,price_at_entry,vol,prob_predicted,actual_outcome,brier,volume,end_date,entry_days_before,already_hit
"Will Bitcoin reach $1,000,000 by December 31, 2025?",BTC,1000000.0,above,87609.03,0.4618,0.0,0.0,0.0,31394607.52,2025-12-31,7,False
"Will Bitcoin reach $250,000 by December 31, 2025?",BTC,250000.0,above,87609.03,0.4618,0.0,0.0,0.0,15857522.58,2025-12-31,7,False
"Will Bitcoin reach $200,000 by December 31, 2025?",BTC,200000.0,above,87609.03,0.4618,0.0,0.0,0.0,19275707.74,2025-12-31,7,False
"Will Bitcoin reach $150,000 by December 31, 2025?",BTC,150000.0,above,87609.03,0.4618,0.0,0.0,0.0,16414060.38,2025-12-31,7,False
"Will Bitcoin reach $130,000 by December 31, 2025?",BTC,130000.0,above,87609.03,0.4618,0.0,0.0,0.0,13211425.23,2025-12-31,7,False
"Will Bitcoin reach $120,000 by December 31, 2025?",BTC,120000.0,above,87609.03,0.4618,0.0006,1.0,0.9989,1924730.06,2025-12-31,7,False
"Will Bitcoin reach $110,000 by December 31, 2025?",BTC,110000.0,above,87609.03,0.4618,0.0078,1.0,0.9845,1893687.49,2025-12-31,7,False
"Will Bitcoin reach $100,000 by December 31, 2025?",BTC,100000.0,above,87609.03,0.4618,0.0659,1.0,0.8726,103063.9,2025-12-31,7,False
"Will Bitcoin dip to $50,000 by December 31, 2025?",BTC,50000.0,below,87609.03,0.4618,0.0,0.0,0.0,4969076.58,2025-12-31,7,False
"Will Bitcoin dip to $90,000 by December 31, 2025?",BTC,90000.0,below,87609.03,0.4618,0.6708,1.0,0.1084,171499.23,2025-12-31,7,True
"Will Bitcoin dip to $80,000 by December 31, 2025?",BTC,80000.0,below,87609.03,0.4618,0.1778,1.0,0.6761,236627.7,2025-12-31,7,False
"Will Bitcoin dip to $70,000 by December 31, 2025?",BTC,70000.0,below,87609.03,0.4618,0.0134,0.0,0.0002,8605610.76,2025-12-31,7,False
"Will Bitcoin dip to $20,000 by December 31, 2025?",BTC,20000.0,below,87609.03,0.4618,0.0,0.0,0.0,4003570.19,2025-12-31,7,False
"Will Bitcoin dip to $100,000 by December 31, 2025?",BTC,100000.0,below,87171.68,0.4613,0.9402,1.0,0.0036,31656.1,2026-01-01,7,True
"Will Bitcoin reach $105,000 by December 31, 2025?",BTC,105000.0,above,87171.68,0.4613,0.0215,0.0,0.0005,4250036.08,2026-01-01,7,False
"Will Bitcoin reach $95,000 by December 31, 2025?",BTC,95000.0,above,87171.68,0.4613,0.1453,0.0,0.0211,8136573.74,2026-01-01,7,False
